English,Translation,Key,File
Celebrate Wikipedia's 25th birthday by joining the 25-day reading challenge!,¡Celebra el 25.º aniversario de Wikipedia uniéndote al reto de lectura de 25 días!,reading-challenge-announcement-title,es.lproj
Read 1 article a day for 25 days,Lee un artículo al día durante 25 días,reading-challenge-announcement-item1-title,es.lproj
"Join the challenge anytime between $1 and $2, complete your 25 days on your own timeline.",Puedes unirte en cualquier momento entre el $1 y el $2 y completar los 25 días a tu propio ritmo.,reading-challenge-announcement-item1-subtitle,es.lproj
Win prizes,Gana premios,reading-challenge-announcement-item2-title,es.lproj
Complete a 25 day reading streak while the challenge is live to win special prizes,Completa una racha de lectura de 25 días mientras el reto esté activo y obtén premios especiales.,,es.lproj
Install the widget,Instala el widget,reading-challenge-announcement-item3-title,es.lproj
Get helpful reminders and motivation with our adorable birthday mascot Baby Globe,"Recibe recordatorios y motivación de la mano de Baby Globe, nuestra adorable mascota de cumpleaños.",reading-challenge-announcement-item3-subtitle,es.lproj
Your reading history is kept protected. Reading insights are calculated using locally stored data on your device.,Tu historial de lectura está protegido. Las estadísticas de lectura se generan a partir de datos almacenados de forma local en tu dispositivo.,reading-challenge-announcement-subtitle,es.lproj
Learn more,Más información,learn-more-title,es.lproj
Join the challenge,Únete al reto,reading-challenge-announcement-cta,es.lproj
Log in to join the challenge,Inicia sesión para unirte al reto,reading-challenge-login-title,es.lproj
Log in or create an account to track your progress towards the reading challenge,Inicia sesión o crea una cuenta para llevar un registro tu progreso en el reto de lectura.,reading-challenge-login-message,es.lproj
No thanks,"No, gracias",notifications-center-onboarding-panel-secondary-button,es.lproj
Log in / Join Wikipedia,Inicia sesión/Únete a Wikipedia,profile-page-join-title,es.lproj
Install the 25-day reading challenge widget,Instala el widget del reto de lectura de 25 días,,es.lproj
Baby Globe is cheering you on. Add the Reading Challenge widget to track your progress from your homescreen.,Baby Globe te está animando. Añade el widget del reto de lectura para llevar un registro tu progreso desde la pantalla de inicio.,reading-challenge-widget-announcement-body,es.lproj
Got it,Entendido,welcome-explore-tell-me-more-done-button,es.lproj
Add,Añadir,explore-suggested-edits-footer,es.lproj
Explore,Explorar,home-title,es.lproj
Get ready to read,Prepárate para leer,reading-challenge-not-live-yet-title,es.lproj
A 25-day reading challenge is on the way.,Se acerca un reto de lectura de 25 días.,reading-challenge-not-live-yet-subtitle,es.lproj
Explore Wikipedia,Explorar Wikipedia,explore-wikipedia,es.lproj
Join challenge,Únete al reto,reading-challenge-join-button-small,es.lproj
"Ready, set, read!","¡Preparados, listos, a leer!",reading-challenge-enrolled-not-started-title-ready,es.lproj
Join the 25-day challenge and unlock special prizes.,Únete al reto de 25 días y desbloquea premios especiales.,reading-challenge-not-enrolled-subtitle,es.lproj
"Start your reading challenge.
Every streak starts somewhere","Empieza tu reto de lectura.
Toda racha tiene un inicio.",,es.lproj
Spin up a new streak? Read one article to get started.,¿Quieres empezar una nueva racha? Lee un artículo para empezar.,,es.lproj
A fresh start. Your streak is just one article away.,Un nuevo comienzo. Tu racha está a un solo artículo de distancia.,,es.lproj
Search,Buscar,search-title,es.lproj
Random,Aleatorio,reading-challenge-random-button,es.lproj
25-day reading challenge,Reto de lectura de 25 días,reading-challenge-subtitle,es.lproj
Curiosity accomplished!,¡Meta alcanzada!,,es.lproj
Nicely read. Your streak is going strong.,Buena lectura. Tu racha sigue imparable.,,es.lproj
Momentum maintained 🔥,Mantienes el impulso 🔥,,es.lproj
One more day of learning. That’s something to be proud of!,Un día más de aprendizaje. ¡Eso sí que es motivo de orgullo!,,es.lproj
Streak: still sparkling ✨,Racha: continúa brillando ✨,,es.lproj
Today’s reading keeps your streak alive.,La lectura de hoy mantiene viva tu racha.,,es.lproj
Progress looks good on you.,El progreso te sienta muy bien.,,es.lproj
Your streak is going strong!,¡Tu racha sigue imparable!,,es.lproj
Gold star energy ⭐,Actitud de estrella ⭐,,es.lproj
"Another day, another discovery.","Un día más, un nuevo descubrimiento.",,es.lproj
That’s one more day of discovery in the books.,Ya hemos sumado otro día de descubrimientos.,,es.lproj
"Don’t let today drift by, your reading streak is waiting.","No dejes que el día se te escape, tu racha de lectura te espera.",,es.lproj
"Before the day snoozes away…
there’s still time to learn something.","Antes de que el día se acabe…
aún hay tiempo para aprender algo.",,es.lproj
Even a small bit of reading counts towards your goal.,Incluso un poco de lectura cuenta para tu meta.,reading-challenge-not-yet-read-subtitle-bit,es.lproj
Your streak is just one article away.,Tu racha está a un solo artículo de distancia.,reading-challenge-enrolled-not-started-subtitle-away,es.lproj
Quiet reading moment?,¿Un momento tranquilo para leer?,reading-challenge-not-yet-read-subtitle-quiet,es.lproj
Jump in for some reading anytime today.,Aprovecha cualquier momento del día para leer.,reading-challenge-not-yet-read-subtitle-jump,es.lproj
Keep your curiosity going.,Mantén viva tu curiosidad.,reading-challenge-not-yet-read-subtitle-curiosity,es.lproj
25 of 25,25 de 25,,es.lproj
Collect prize,Reclama tu premio,reading-challenge-collect-prize-button-small,es.lproj
You did it!,¡Lo lograste!,reading-challenge-completed-title,es.lproj
25 of 25 days,25 de 25 días,reading-challenge-completed-subtitle,es.lproj
Collect your prize!,¡Reclama tu premio!,collect-prize-title,es.lproj
Challenge Concluded,Reto completado,reading-challenge-concluded-title,es.lproj
Collect your prizes,Reclama tus premios,,es.lproj
"One adorable badge, earned",Has ganado una adorable insignia,,es.lproj
You completed the challenge and Baby Globe couldn't be prouder. Bask in your achievement with a digital badge for your activity tab.,Completaste el reto y Baby Globe no podría estar más orgulloso. Celebra tu logro con una insignia digital en tu pestaña de actividad.,,es.lproj
25-day challenge badge,Insignia del reto de 25 días,,es.lproj
Curiosity looks good on you!,¡La curiosidad te sienta muy bien!,,es.lproj
Celebrate completing the challenge with 15% off at the Wikipedia Store,Celebra haber completado el reto con un 15 % de descuento en la tienda de Wikipedia.,collect-prize-subtitle,es.lproj
Get 15% off at the store,Obtén un 15 % de descuento en la tienda,collect-prize-button-title,es.lproj
Completed challenges,Retos completados,,es.lproj
1 day,{{PLURAL:$1|$1 día|$1 días}},reading-challenge-streak-days,es.lproj
